title,price,shipping,mods,date,status,preview,rCost
MICKEY MOUSE POP UP SHOP AND GAMESTOP EXCLUSIVES IN PROTECTORS FUNKO POP RARE ,34.00,0,POSITIVE,"Jan 31, 2019",Sold,https://i.ebayimg.com/thumbs/images/g/F8MAAOSwUMBcT7UH/s-l225.jpg,34
Star Wars Funko Pop BB-9E #202 Box Lunch Exclusive Brand New,9.00,0,STRIKETHROUGH POSITIVE,"Jan 31, 2019",Sold,https://i.ebayimg.com/thumbs/images/g/0hIAAOSwMO9b38de/s-l225.jpg,9
Funko Pop Smuggler’s Bounty Exc Boba Gets His Bounty Star Wars Movie Moments 280 Brand New,74.99,0,POSITIVE,"Jan 31, 2019",Sold,https://i.ebayimg.com/thumbs/images/g/vFwAAOSwu3ZcUagN/s-l225.jpg,75
New ListingMarvel Collector’s Corps Exclusive Funko POP Angel X-Men Figure New Listing,24.99,0,POSITIVE,"Jan 31, 2019",Sold,https://i.ebayimg.com/thumbs/images/g/jkkAAOSw5EpcUlKs/s-l225.jpg,25
Funko POP Animation: Bob’s Burgers - Buttloose Tina Action Figure ,8.99,5.99,POSITIVE,"Jan 29, 2019",Sold,https://i.ebayimg.com/thumbs/images/g/lFUAAOSw-GFZlM8k/s-l225.jpg,15
Funko Pop Ad Icon Pillsbury Doughboy  Brand New,35.00,4.95,STRIKETHROUGH POSITIVE,"Jan 31, 2019",Sold,https://i.ebayimg.com/thumbs/images/g/NGYAAOSw9xJcIbQt/s-l225.jpg,40
Funko Pop! Super Saiyan God Vegeta Metallic GameStop Exclusive  Brand New,89.00,10.00,POSITIVE,"Jan 31, 2019",Sold,https://i.ebayimg.com/thumbs/images/g/y8EAAOSwzFhcQLqi/s-l225.jpg,99
Stan Lee Funko Pop Brand New,22.50,7.00,POSITIVE,"Jan 31, 2019",Sold,https://i.ebayimg.com/thumbs/images/g/MvQAAOSww1NcSh5m/s-l225.jpg,29
Funko Pop! Marvel Captain Marvel (Masked) #425 Chase New *IN HAND* Brand New,32.99,0,POSITIVE,"Jan 31, 2019",Sold,https://i.ebayimg.com/thumbs/images/g/zqkAAOSwg1JcQ6Jm/s-l225.jpg,33
GERTRUDE ELDRIDGE - Funko Pop! #307 - Ghostbusters - NEW!!! Brand New,4.00,4.00,POSITIVE,"Jan 31, 2019",Sold,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,8
